,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
505,505,2019-01-18 18:56:00+00:00,2019-01-18 18:56:00+00:00,6.183e-05,6.183e-05,6.1e-05,6.138e-05,141,99.29166666666669,6.207166666666665e-05
506,506,2019-01-18 18:57:00+00:00,2019-01-18 18:57:00+00:00,6.137e-05,6.186e-05,6.124e-05,6.186e-05,58,97.375,6.202958333333332e-05
507,507,2019-01-18 18:58:00+00:00,2019-01-18 18:58:00+00:00,6.176e-05,6.186e-05,6.132e-05,6.143e-05,59,95.45833333333331,6.196999999999998e-05
508,508,2019-01-18 18:59:00+00:00,2019-01-18 18:59:00+00:00,6.147e-05,6.159999999999999e-05,6.121e-05,6.149e-05,81,95.625,6.192208333333331e-05
509,509,2019-01-18 19:00:00+00:00,2019-01-18 19:00:00+00:00,6.151e-05,6.168e-05,6.13e-05,6.13e-05,50,96.20833333333331,6.186624999999997e-05
510,510,2019-01-18 19:01:00+00:00,2019-01-18 19:01:00+00:00,6.136e-05,6.169e-05,6.135e-05,6.153e-05,39,94.70833333333331,6.183166666666664e-05
511,511,2019-01-18 19:02:00+00:00,2019-01-18 19:02:00+00:00,6.162e-05,6.198e-05,6.154e-05,6.161e-05,60,95.125,6.179166666666663e-05
512,512,2019-01-18 19:03:00+00:00,2019-01-18 19:03:00+00:00,6.165e-05,6.193e-05,6.162e-05,6.186e-05,27,90.70833333333331,6.177791666666662e-05
513,513,2019-01-18 19:04:00+00:00,2019-01-18 19:04:00+00:00,6.186e-05,6.196e-05,6.171e-05,6.196e-05,83,86.70833333333331,6.182124999999998e-05
514,514,2019-01-18 19:05:00+00:00,2019-01-18 19:05:00+00:00,6.197e-05,6.223e-05,6.181e-05,6.198e-05,132,79.875,6.18558333333333e-05
515,515,2019-01-18 19:06:00+00:00,2019-01-18 19:06:00+00:00,6.2e-05,6.245e-05,6.176e-05,6.184e-05,98,76.75,6.185791666666665e-05
516,516,2019-01-18 19:07:00+00:00,2019-01-18 19:07:00+00:00,6.184e-05,6.219e-05,6.143e-05,6.219e-05,127,78.5,6.18970833333333e-05
517,517,2019-01-18 19:08:00+00:00,2019-01-18 19:08:00+00:00,6.231e-05,6.231e-05,6.164e-05,6.194e-05,81,78.0,6.190916666666664e-05
518,518,2019-01-18 19:09:00+00:00,2019-01-18 19:09:00+00:00,6.2e-05,6.219e-05,6.183e-05,6.183e-05,57,76.66666666666667,6.191583333333331e-05
519,519,2019-01-18 19:10:00+00:00,2019-01-18 19:10:00+00:00,6.182e-05,6.25e-05,6.181e-05,6.222e-05,80,77.25,6.193291666666662e-05
520,520,2019-01-18 19:11:00+00:00,2019-01-18 19:11:00+00:00,6.227e-05,6.245e-05,6.208e-05,6.221e-05,67,77.75,6.195291666666662e-05
521,521,2019-01-18 19:12:00+00:00,2019-01-18 19:12:00+00:00,6.215e-05,6.248e-05,6.201e-05,6.207e-05,75,73.79166666666667,6.193208333333329e-05
522,522,2019-01-18 19:13:00+00:00,2019-01-18 19:13:00+00:00,6.201e-05,6.219e-05,6.186e-05,6.193e-05,56,71.66666666666667,6.189958333333328e-05
523,523,2019-01-18 19:14:00+00:00,2019-01-18 19:14:00+00:00,6.191e-05,6.192e-05,6.14e-05,6.161e-05,99,72.5,6.186958333333327e-05
524,524,2019-01-18 19:15:00+00:00,2019-01-18 19:15:00+00:00,6.164e-05,6.164e-05,6.088e-05,6.111e-05,193,78.29166666666667,6.181416666666662e-05
525,525,2019-01-18 19:16:00+00:00,2019-01-18 19:16:00+00:00,6.11e-05,6.111e-05,6.057e-05,6.1e-05,123,82.20833333333333,6.175958333333329e-05
